content,channelName,title
聂卫平击败69岁日本老对手：很久没尝过获胜滋味了21日，2020中日韩聂卫平杯围棋大师赛在成都拉开战幕。揭幕战中，68岁的聂卫平战胜69岁的老对手武宫正树，常昊胜山下敬吾，古力战胜河野临，吴依铭胜上野梨纱，中国队以4-0横扫日本队。首届中日韩聂卫平杯围棋大师赛于2019年举办，这也是中国围棋历史上第一个以棋手名字命名的比赛。但今年比赛受疫情影响，赛事移师线上举行——本次大师赛的中国选手为聂卫平，中国围棋协会副主席、世界冠军常昊，“八冠王”古力及13岁的小将吴依铭。日本队由武宫正树、山下敬吾、河野临、上野梨纱出战。韩国方面则是曹薰铉、李昌镐、尹畯相、郑有珍等名将。在对阵武宫正树前，聂卫平就在赛前笑言：“我很久没有下网棋了，最担心滑标，以前就曾出现过几次。”不过，聂老的担心实属多余，在赢棋后他直接表示，“很久没有尝过在正式比赛中获胜的滋味了，在这样一个美妙的比赛中很想品尝一下。”根据赛程，日本队将在22日对战韩国队，23日中国队对战韩国队，同日将揭晓本次比赛的冠军归属。此外，本次比赛第四台少年棋手全都由女子棋手出战，这也显示出女棋手的竞技水平和影响力正在显著提升。澎湃新闻返回搜狐，查看更多,体育,聂卫平击败69岁日本老对手：很久没尝过获胜滋味了
日媒曝东京奥运会开闭幕式预算增至1.597亿美元北京时间12月22日，据知情人士透露，东京奥运会组委会正计划将推迟举行的东京奥运会和残奥会开闭幕式的预算提高到165亿日元（约1.597亿美元）。组织者已决定提高预算的额外 35 亿日元，原因是由于新冠病毒大流行的推迟一年影响。随着延期，演出内容等需要调整。据悉，由于奥运会简办预计将压缩艺术部分，尽可能抑制成本增加的幅度。这将是组织者第二次提高定于2021年7月23日在日本首都举行的东京奥运会开闭幕式的预算。第一次是去年2月在敲定企划、演出的主要内容，提出了必要的项目费时，预计超过申奥阶段文件中估计的91亿日元，预算增加了约43%，因此增加到130亿日元。奥组委将开闭幕式的业务委托给广告巨头电通公司开展，随着延期，计划延长合同。消息人士说。增加预算的问题将在周二的董事会上进行讨论。东京奥运会在推迟一年之前，预计费用约为1.35万亿日元(约130亿美元)，其中因推迟和防止新型冠状病毒传播所需的对策而产生的额外费用为2940亿日元。日本著名演员野村满斋将担任开闭幕式的首席执行创意总监。野村作为演员在舞台上和电影中的表演最为著名，但同时也在日本和海外制作和导演。山崎隆是奥运会开闭幕式的执行创意总监。佐佐木浩将在残奥会中担任同样的角色。佐佐木监督了2016年里约热内卢奥运会的会旗交接仪式，日本时任首相安倍晋三身着任天堂主机游戏名将马里奥的服装亮相。（鸾台）返回搜狐，查看更多,体育,原创 日媒曝东京奥运会开闭幕式预算增至1.597亿美元
德约排名第一突破300周大关 超费德勒登顶无悬念搜狐体育消息 北京时间12月22日，塞尔维亚天王德约科维奇本赛季又达到一个里程碑纪录，作为世界第一排名周数达到300周大关，成为历史上第二位突破这一数字的选手，距离超越榜首费德勒（310周）的纪录近在眼前。德约科维奇职业生涯中曾多次登顶世界第一，2011年7月4日首次登顶，这一次在榜首位置占据了53周之后，在2012年7月8人丢掉世界第一的排名。此后2012年12月又重新夺回第一，这一次在榜首上待了48周的时间。德约连续世界第一最长周数是2014年7月7日至2016年11月6日，连续122周位居世界第一。此后又在2018年11月至2019年11月连续52周占据榜首。本次世界排名的排名始于2020年2月3日，在澳网捧杯后德约超越了纳达尔重回榜首位置，此后经历了一波连续胜利巩固自己的排名。德约在9月份的时候世界排名第一周数超越桑普拉斯，年末尽管纳达尔拿下法网冠军后一度威胁到榜首位置，但德约还是在年终锁定第一，目前这一次榜首位置已经超过25周。职业生涯总排名第一周数，德约科维奇突破300周大关，成为历史上第二位达到这一数字的选手，仅次于310周第一的费德勒。目前德约科维奇积分12030分，超过排名第二的纳达尔2000分，如果在2021年赛季开局的澳网继续取得好成绩，那么最快德约将在2021年3月8日超过费德勒的这一纪录。德约科维奇早些时候曾经谈到过这一纪录，“这是我职业生涯最大的两大目标之一，要达到并超过费德勒最长时间世界第一的纪录，此外还有就是尽可能赢得更多的大满贯冠军。我过去和现在都是这样说的和做的，目前正朝着这个方向努力，希望我能保持健康继续打出高水平的比赛。”尽管德约科维奇大概率将超越费德勒这一纪录，但另外一个纪录上德约可能将难以完成超越，那就是费德勒曾经在2004年2月至2008年连续237周排名世界第一，排名第二的康纳斯则是仅有160周，德约在这项排名上以122周的成绩位居第四位。2. 德约科维奇 300周 最长连续122周3.桑普拉斯 286周 最长连续102周5.吉米康纳斯 268周 最长连续160周返回搜狐，查看更多,体育,原创 德约排名第一突破300周大关 超费德勒登顶无悬念
德约排名第一突破300周大关 超费德勒登顶无悬念搜狐体育消息 北京时间12月22日，塞尔维亚天王德约科维奇本赛季又达到一个里程碑纪录，作为世界第一排名周数达到300周大关，成为历史上第二位突破这一数字的选手，距离超越榜首费德勒（310周）的纪录近在眼前。德约科维奇职业生涯中曾多次登顶世界第一，2011年7月4日首次登顶，这一次在榜首位置占据了53周之后，在2012年7月8人丢掉世界第一的排名。此后2012年12月又重新夺回第一，这一次在榜首上待了48周的时间。德约连续世界第一最长周数是2014年7月7日至2016年11月6日，连续122周位居世界第一。此后又在2018年11月至2019年11月连续52周占据榜首。本次世界排名的排名始于2020年2月3日，在澳网捧杯后德约超越了纳达尔重回榜首位置，此后经历了一波连续胜利巩固自己的排名。德约在9月份的时候世界排名第一周数超越桑普拉斯，年末尽管纳达尔拿下法网冠军后一度威胁到榜首位置，但德约还是在年终锁定第一，目前这一次榜首位置已经超过25周。职业生涯总排名第一周数，德约科维奇突破300周大关，成为历史上第二位达到这一数字的选手，仅次于310周第一的费德勒。目前德约科维奇积分12030分，超过排名第二的纳达尔2000分，如果在2021年赛季开局的澳网继续取得好成绩，那么最快德约将在2021年3月8日超过费德勒的这一纪录。德约科维奇早些时候曾经谈到过这一纪录，“这是我职业生涯最大的两大目标之一，要达到并超过费德勒最长时间世界第一的纪录，此外还有就是尽可能赢得更多的大满贯冠军。我过去和现在都是这样说的和做的，目前正朝着这个方向努力，希望我能保持健康继续打出高水平的比赛。”尽管德约科维奇大概率将超越费德勒这一纪录，但另外一个纪录上德约可能将难以完成超越，那就是费德勒曾经在2004年2月至2008年连续237周排名世界第一，排名第二的康纳斯则是仅有160周，德约在这项排名上以122周的成绩位居第四位。2. 德约科维奇 300周 最长连续122周3.桑普拉斯 286周 最长连续102周5.吉米康纳斯 268周 最长连续160周返回搜狐，查看更多,体育,德约排名第一突破300周大关 超费德勒登顶无悬念
ATP年度颁奖：三巨头获奖 费德勒连续18年最受欢迎搜狐体育消息 北京时间12月22日凌晨，2020年即将结束之际，ATP男子网球也进行了一年一度的年终颁奖颁奖，表彰这个赛季中做出贡献了的男子网球选手。“三巨头”德约科维奇、纳达尔和费德勒均获得奖项，其中费德勒尽管缺席了大部分赛事，但仍旧连续18年被球迷投票为“最受欢迎单打选手”。年终第一：德约科维奇塞尔维亚天王德约科维奇又度过了一个完美的赛季，获得了澳网、辛辛那提、罗马赛和迪拜赛四个冠军，并且本赛季前26场比赛保持全胜。此外还有ATP杯冠军和法网亚军的战绩，以33岁6个月零16天再度成为ATP历史上最年长的年终第一，超越了纳达尔此前保持的纪录，同时也是德约科维奇生涯第6次获得年终第一排名，追平了此前有桑普拉斯独享的这一纪录，位居男子网球历史第一位。年终双打第一：帕维奇/苏亚雷斯克罗地亚和巴西选手组成的跨国组合成为赛季后半段双打赛场上的赢家，帕维奇和苏亚雷斯凭借出色的表现登上了ATP双打年终第一位置，其中帕维奇在2016年和穆雷以及2018年和马拉奇搭档曾经斩获过这一荣誉。帕维奇和苏亚雷斯本赛季斩获美网男双冠军，随后又打进法网和巴黎大师赛两站决赛。年度最佳复出球员：波斯皮希尔加拿大选手波斯皮希尔获得了由球员投票的最佳复出奖，前是世界排名第25位的选手接受了背部手术，以来修复椎间盘突出的问题，在2019年大部分时间内都没有出场，年初世界排名已经跌至100名开外。本赛季复出后闯进蒙彼利埃站决赛，美网16强和索菲亚站决赛，世界排名飙升89位来到第61的位置，最终战胜了同样获得提名的安德森。库兹涅佐夫和拉奥尼奇获得这一奖项。年度最佳进步奖：卢布列夫23岁的俄罗斯选手卢布列夫本赛季表现惊人，赛季初就在1月份连续斩获多哈赛和阿德莱德两个冠军，此后经历美网八强和罗马赛第二轮出局后，汉堡站拿下生涯首个ATP500系列冠军，此后又连续斩获圣彼得堡站和维也纳两个冠军，生涯首次获得年终总决赛参赛席位。卢布列夫本赛季创纪录拿下5个冠军，超过了所有选手，全年取得41胜10负的惊人战绩，并列德约科维奇是2020年胜场最多的选手，世界排名也由第23位提升到第8位，达到职业生涯新高。年度最佳新人：阿尔卡拉斯西班牙年轻选手阿尔卡拉斯获得了年度最佳新人奖，上赛季西班牙小将的年终排名是第491位，2020年的排名则是提升到136位，排名上升超过350位。本赛季初阿尔卡拉斯就连续赢得了3个ATP挑战赛冠军，其中保罗阿那尔科、安塔利亚和德里亚斯特的冠军，此后赛季末又在巴塞罗那和阿利坎特两度捧杯，成为又一位18岁前至少获得3次挑战赛冠军的选手。埃芬博格体育精神奖：纳达尔西班牙天王纳达尔本赛季同样非常出彩，尽管澳网早早出局后又缺席了美网赛事，但在罗兰加洛斯捍卫了自己红土之王的荣誉，决赛中横扫德约科维奇捧杯，使得自己大满贯冠军数首次追平费德勒，来到20个并列榜首位置。这项由球员投票的奖项选择了纳达尔，也是西班牙天王连续三年获得这一奖项，同时也是个人第四个体育精神奖，来表彰纳达尔在赛场上所表现出来的的公平比赛、专业精神和诚实可靠的品质。阿瑟阿什人道主义奖：狄亚福美国网球选手狄亚福在2020年赛场内外都产生了巨大的影响力，在ATP巡回赛停摆的五个月中，狄亚福利用自己的深交平台等，发起了支持感恩节以及推广青少年网球活动，还发起了排名纪念品以支持疫情抗击的运动。和女友一起推广团结黑人争取权益的的有影响力的视频，并且邀请到了小威和大坂直美的参与拍摄。瑞士天王的2020赛季并不完美，甚至可以说是有着较多的遗憾，仅仅在年初澳网上打进半决赛，此后由于疫情和伤病的问题，费德勒选择进行了两次膝盖手术而缺席了整个赛季的争夺。但这病没有妨碍费德勒依然被球迷所喜爱，在球迷投票的最受欢迎奖中，费德勒再次以高票当选，这也是瑞士人天王连续18年获得这一奖项，生涯ATP奖项已经达到39个。年度最佳教练：文森特教练文森特本赛季带领卢布列夫迎来了职业生涯的飞跃，打进5次决赛斩获5个冠军，以41场胜利结束本赛季征战，位居ATP所有选手榜首位置，以及职业生涯最高的第8位排名。赛季初文森特曾经承诺带给卢布列夫“一个出色的赛季”，最终也做到了这一点。返回搜狐，查看更多,体育,原创 ATP年度颁奖：三巨头获奖 费德勒连续18年最受欢迎
羽联公布2021年赛程 苏杯时间待定亚锦赛地点待定北京时间12月21日，世界羽联官方发布最新版本的2021赛季世界羽联赛事赛程安排。截至目前明年世界羽联的赛事已经确定到第31周。明年的奥运积分赛从3月初的瑞士公开赛开始，到5月11日-16日的印度公开赛结束。明年亚锦赛将升级为世界羽联第二级别的Super1000赛事，但举办地点待定。明年本该举行的苏迪曼杯将在苏州举行，赛事举办时间待定。世界羽联宣布，被推迟的汤尤杯将在明年第41周举行，与丹麦公开赛组成丹麦赛季。根据世界羽联的安排，明年1月首先是泰国赛季，分别是YONEX泰国公开赛（1月12日至17日），丰田泰国公开赛（1月19日至24日），和2020年汇丰BWF世界巡回赛总决赛（1月27日至31日）。近期中国羽毛球队依然在海南陵水集训，全队已经报名参加泰国赛季，按计划应该在12月29日前抵达曼谷。但曼谷近郊约30公里的龙仔厝府四天前爆发新集体感染疫情，截至21日已累计确诊逾800例新冠肺炎病例。今日曼谷官方宣布再增2例本土感染病例，加上19日和20日确诊的2例，共计4例新增病例，所有病例都与龙仔厝府海鲜市场有关。目前尚不清楚这起本年度以来泰国最大的集体疫情事件，对1月曼谷的三站羽毛球国际赛事会有什么样的影响。2021年最重要的是东京奥运会，今年年初东京奥运会的奥运积分赛受疫情中断。世界羽联宣布，明年3月初开始的瑞士公开赛（Super300）将是奥运积分赛重启的赛事，到5月的印度公开赛结束。期间重要的赛事有3月的全英公开赛（Super1000）、刚刚升级的即将于4月27日到5月2日举行的亚锦赛（Super1000），3月的马来西亚公开赛（Super750）等赛事。羽毛球亚锦赛前几年固定在武汉举行，今年亚锦赛因故被迫取消。世界羽联最新的信息显示，明年羽毛球亚锦赛在哪个城市举行，目前地点还处于待定状态。2021年的苏迪曼杯，原定5月在苏州举行。世界羽联对明年苏迪曼杯最新情况的披露如下：“我们正在与中国羽毛球协会和东道主苏州市密切协商，以确定举办日期。”世界羽联刚刚公布的明年最新赛程，截至到8月2日东京奥运会。但前7个多月安排的这些赛程，能否按预定方案举行，还要视全球疫情的最新情况而定。世界羽联还宣布：“今年早些时候推迟的2020年世界羽联汤尤杯将于本赛季第41周在丹麦奥胡斯举行，并与2021年丹麦公开赛一起组成丹麦赛季。”这意味着如果顺利的话，被推迟的汤尤杯有望明年10月左右与丹麦公开赛相继在丹麦举行。此外2021年还是世界羽联传统的世锦赛年，明年的世锦赛原定8月在西班牙举行，此前世界羽联已经公布最新调整方案，明年世锦赛被推迟到11月29日至12月5日。如果明年全英公开赛、苏迪曼杯、奥运会、汤尤杯以及世锦赛都能如期举行，将是羽毛球领域的一大奇迹——一年内所有羽毛球项目的大赛都扎堆举行。（Red）,体育,羽联公布2021年赛程 苏杯时间待定亚锦赛地点待定
莎娃爱情故事：曾和小威抢迪米 与英国高富帅订婚将成正果2005年莎娃18岁生日时，摇滚乐队Maroon 5在其生日派对上表演，主唱亚当-莱文的独特气质吸引了莎娃。不过两人的恋情并没有持续太长时间。更有八卦媒体表示亚当-莱文之所以和莎娃分手是因为后者身体不行，不过列文随后予以否认。两人的绯闻最早起源于2005年的ESPY体育颁奖典礼，当时ESPN报道称罗迪克和莎娃在典礼结束后一起去了好莱坞罗斯福酒店的酒吧，并待到凌晨。随后2006年的澳网，莎娃就多次现场助阵罗迪克的比赛，两人还经常结伴在赌场玩扑克牌。2006年的美网，两人的暧昧依旧在延续，只不过对外都采取不承认、不否认的态度。罗迪克是公开否认这段恋情的，当时他对媒体说：“我们没有约会，我已经说过一万次了，但是你们就是不写出来。我们确实是好朋友，我觉得她很棒，我们经常聊天，但是就只是这样而已。”而在那次的美网期间，有美国报纸报道，两人一起训练时都穿了意见写有“爱在空气中”字样的上衣。可随着罗迪克美网决赛负于费德勒，莎娃战胜海宁夺冠，这段情突然销声匿迹。2007年美网决赛在费德勒和小德之间展开，莎娃出现在了小德的亲友团包厢中。每次当塞尔维亚人打出好球，转播镜头都会切向莎娃，俄罗斯美女总是很高兴地为小德鼓掌叫好。赛后，两人还一起到KTV欢唱到凌晨5点。2008年的印第安维尔斯赛结束后，两人还不约而同出现在了湖人比赛现场。同年迈阿密赛前夕，两人更是再次被传出一同前往夜店。只不过两人都在各自官网表示彼此只是好朋友而已。实际上小德有女朋友，2014年年7月小德与相恋八年的女友伊莲娜结婚，现在两人已经生了两个孩子。2009年，当两人十指相扣漫步街头的照片被爆光时，很少有人看好这对恋人的前景。随后媒体还爆出莎娃父亲怒斥武贾西奇在事业上无所作为，毕竟后者在湖人只是个替补。两人认真交往了三年，而且已经到了谈婚论嫁的地步，但2012年春天两人还是选择了分手，莎娃当时说：“我们在一起度过了美好的几年，我还是会珍惜他这个朋友。”莎娃的前男友里面，保加利亚天才少年迪米特洛夫是比较特殊的一位，迪米特洛夫在与莎娃交往之前曾是小威的男朋友。莎娃与迪米的恋情在2013年温网期间曝光，迪米特洛夫曾主动向媒体透露，他与莎娃是从发邮件开始慢慢交往起来的，“我在家里正坐下吃午饭，看到电视里莎娃正在比赛，我就给她发了封邮件。我们开始聊天，一个月后赛季结束，我们就在一起了。”虽然比小威小10岁，但有人目击到迪米与小威曾在巴黎街头手牵手逛街，并共进午餐，而且保加利亚人也曾坐进小威的包厢。小威后来一次与姐姐大威的闲聊被好事者录了下来，小威称迪利特洛夫为“那个黑心肠的人”。六、安德烈斯-维伦科索莎娃与迪米的恋情终止于2015年，当时美媒透露迪米特洛夫在温网期间背着莎娃出轨，他偷情的对象正是保加利亚性感名模尼克勒塔-洛扎诺娃。当莎拉波娃发现男友偷情后立即提出分手，井将赠予过迪米特洛夫的一部价值28万欧元的保时捷索回。在2016年5月莎娃有了新动向，新男友是西班牙人安德烈斯-维伦科索，此人出生于1978年3月11日，为时尚界一线名模身高190cm。二人手拉手在巴黎约会时被狗仔偷拍，在这座以浪漫闻名的城市街头漫步，一切都那么美好。7月2日，大满贯冠军、女子网坛人气最高的女神莎拉波娃出行被拍，随行的是一名帅气男子，引发球迷热议。据介绍，这名男子名叫刘易斯-豪斯，是一名颇有名气的作家，身家不菲。不过后来两人相处短暂，也没有再继续发展下来。八、亚历山大-吉尔克斯当地时间2018年3月1日，在美国比弗利山庄，莎拉波娃被拍到与亚历山大-吉尔克斯外出。出身英国豪门的亚历山大-吉尔克斯，是哈里王子在伊顿公学的同学，情史也相当丰富：有一位时装设计师前妻，还和英国王妃的妹妹有过一段恋情，如今从事着艺术品交易工作。比莎娃大7岁的亚历山大-吉尔克斯，在2018年法网期间就曾向莎娃求婚成功，求婚地点就在埃菲尔铁塔下。北京时间2020年12月19日，莎娃通过个人社交平台宣布，亚历山大-吉尔克斯订婚，这意味着两人的恋情即将修成正果，实属不易。（Red）返回搜狐，查看更多,体育,原创 莎娃爱情故事：曾和小威抢迪米 与英国高富帅订婚将成正果
澳网：费德勒承诺参赛 推迟三周对39岁老将有利北京时间12月20日，据法新社最新报道，澳网总监克雷格-泰利证实，包括20个大满贯在手的瑞士天王罗杰-费德勒在内的所有世界顶尖球员，明年2月8日都将出现在墨尔本参加2021年澳网公开赛。明年的澳网观众席被允许开放50%，赛事比原计划推迟了三周，所有球员抵达赛地后都需要接受14天的强制隔离。澳网总监克雷格-泰利还表示：“将全额兑现7100万美元的奖金。”比赛延迟对费德勒来说可能是关键，上周他承认自己正在“与时间赛跑”以恢复健康，因为他从第二次接受膝盖手术过程中，恢复的时间比预期的要长。泰利说前两天他们已经于39岁的费德勒联系过，对方正在迪拜进行常规的季前训练。泰利透露：“每个球员，包括罗杰，都承诺前往墨尔本参赛。我们已经与他和他的团队联系过了，他在迪拜训练已经三天了。他对我们说过，澳网推迟到2月8日对他的备战更有利。”不过泰利承认，费德勒到时候能不能真的站上2021年澳网的赛场，取决于未来两到三周，他训练中身体对手术的反应。费德勒迄今六次获得澳网冠军，今年年初他在半决赛里输给德约科维奇，随后他因为伤病等原因基本上就再也没有参加过正式比赛。而纳达尔在法网获得个人赛会第13个冠军后，追平了费德勒20冠的大满贯纪录。明年澳网的男女单打资格赛，将于1月10日到13日分别在多哈和迪拜举行，随后1月15日球员们将乘包机直接飞到墨尔本接受检疫。泰利表示，赛前将不断进行核算检测，球员们允许再安全泡泡里每天训练5个小时，但只能有一名固定的训练伙伴。隔离期间球员们只能穿梭于墨尔本公园和指定的隔离酒店之间，如果有人的检测结果呈阳性，将被安排在自己的房间里彻底隔离。蒂利警告说：“如果有任何违反（隔离）规定的行为，球员将被立即驱逐出境并被罚款。”与此同时，以往常规的澳网赛前的系列赛也将重启。一个精简的只有12队参加的ATP杯团体赛将安排在阿德莱德举行，一个ATP250赛季将在墨尔本举行，一旦球员们解除隔离可以自由活动。两个WTA赛事，也计划于1月31日到2月7日在墨尔本公园同时举行。法新社报道说，澳大利亚在很大程度上已经控制住了疫情，尽管最近几天悉尼有新疫情爆发，该市部分地区采取新的防疫措施，甚至关闭了州界。（Red）返回搜狐，查看更多,体育,原创 澳网：费德勒承诺参赛 推迟三周对39岁老将有利
天津女排夺冠历程：21胜2负仅丢7局 总决赛落后演逆转12月18日，2020-2021赛季全国女排超级联赛落下帷幕，天津渤海银行在总决赛先丢一场的不利形势下，最终连扳两场以胜场2-1逆转江苏中天钢铁成功卫冕，三场战果分别为1-3、3-1和3-1，并且荣膺13冠王创造排超联赛的新纪录。值得一提的是，天津女排同样是凭借21胜2负仅丢7局的骄人战绩傲视群芳，这也是朱婷师从王宝泉后斩获排超联赛的第二冠。铁帅王宝泉执教天津渤海银行坐拥郎平国家队多位国手，除了世界杯冠军主攻李盈莹、二传姚迪和副攻王媛媛之外，自由人孟子旋、副攻王宁和二传陈馨彤都曾经短暂参加过国际队集训，虽然由于防疫工作形势需要未能引进外援，但高薪续约中国女排队长朱婷增添卫冕砝码，甚至在开赛前就被球迷们戏称“夺冠无悬念”，至于女排其他俱乐部只是竞争本赛季的亚军。当然，天津女排征战排超联赛的强势表现也不负众望，虽然遭遇到张常宁和龚翔宇领衔的江苏中天钢铁冲击，但过招其他诸强包括双外援压阵的广东恒大，以及上海光明优倍均是保持场场3-0的巨大优势，最终本赛季战绩定格为21胜2负仅丢7局。其中，天津渤海银行自从在第4轮A组以3-0零封浙江至半决赛双杀广东恒大，创造出本赛季豪取18连胜的纪录。（任煜寅）盘点天津渤海银行征战2020-2021赛季全国女排超级联赛夺冠历程：11月12日星期四第1轮A组11月13日星期五第2轮A组11月14日星期六第3轮A组11月15日星期日第4轮A组11月16日星期一第5轮A组11月17日星期二第6轮A组11月18日星期三第7轮A组11月19日星期四休战11月20日星期五第8轮（天津渤海银行轮空）11月21日星期六第9轮11月22日星期日第10轮11月23日星期一第11轮11月24日星期二休战11月25日星期三第12轮11月26日星期四第13轮11月27日星期五第14轮11月28日星期六-12月3日星期四休战第1-8名分组单循环赛第1轮12月5日星期六休战第1-8名分组单循环赛第2轮第1-8名分组单循环赛第3轮,体育,天津女排夺冠历程：21胜2负仅丢7局 总决赛落后演逆转
朱婷26分天津女排3-1江苏 总决赛胜场2-1卫冕揽13冠王江苏中天钢铁由蔡斌（上海）执掌教鞭，主动变阵安排伤兵二传6号刁琳宇休战，接应16号龚翔宇临时客串二传而主攻12号吴晗兼职接应，其他位置沿用自由人18号倪非凡、主攻9号许若亚和2号张常宁（队长）、副攻11号王辰玥与3号周馨亿出战。天津渤海银行铁帅王宝泉同样变阵改由接应11号陈博雅顶替20号王艺竹，其他位置安排双自由人13号孟子旋与10号刘立雯、二传16号姚迪（队长）、主攻5号朱婷（河南）和1号李盈莹、副攻15号王媛媛与6号王宁登场。龚翔宇第一局客串二传尝试跳飘球但被李盈莹后二突破，江苏女排由于王辰玥短平快遭拦截到0-2，王媛媛跳飘失误并且许若亚借手出界连得2分追平。朱婷探头与姚迪跳飘至4-2后朱婷再暴扣，天津渤海通过陈博雅背平和李盈莹防反到7-3。蔡斌暂停后朱婷跳发球下网但陈博雅借手出界，江苏中天因为许若亚强攻被拦好在李盈莹开炮，周馨亿垫传出界失误至6-10后张常宁巧打借手出界。倪非凡神防守朱婷跑动冲进但遭李盈莹后三到8-12，江苏女排由于许若亚和倪非凡防守让球再遭朱婷防反连丢2分，龚翔宇妙传张常宁高拉开至14-9可惜张常宁后三开炮。朱婷神防守许若亚暴扣再防反，天津女排凭借朱婷暴扣到17-10迫使蔡斌暂停。许若亚一攻和拦截陈博雅连追2分时被后者突破拦防，江苏中天依靠张常宁后三并且龚翔宇跳传张常宁后二至14-21，拦防不住李盈莹和朱婷连番暴扣以16-25先丢一局。龚翔宇第二局背传张常宁后二与许若亚轻拍落点到4-1，江苏女排由于周馨亿躲闪不及被李盈莹扣翻在地，龚翔宇妙传周馨亿短平快到5-2被王宁回敬背快。许若亚强攻借手出界可惜遭李盈莹平拉开，天津渤海依靠李盈莹强攻借手打标志杆迫近5-6，被张常宁暴扣大斜线后李盈莹跑动冲进，陈博雅跳飘经由鹰眼挑战显示压线追平7-7。朱婷后三变扣为吊到8-8逼迫许璐瑶轮换吴晗跑动前交叉，天津女排通过朱婷拦截周馨亿至11-11。李盈莹封堵许若亚反超到12-11但被许璐瑶后二突破，天津渤海因为朱婷后三开炮连丢2分，许若亚跳飘出界但张常宁后三至14-13，后者夫婿男篮名将吴冠希作为云观众出镜助威。李盈莹封堵和后二借手出界逆转到16-15，张常宁暴扣小斜线但后三开炮送礼连丢2分，天津女排派遣杨艺跳飘制造探头至18-16迫使蔡斌暂停。许若亚借手出界与张常宁后三打吊结合连得4分反超到20-18，江苏女排凭借许若亚相继强攻、张常宁冲进至24-22，被陈博雅挽救一局点但跳飘下网令天津以23-25被追平局分1-1。李盈莹第三局后三突破并且朱婷防反立功，天津渤海利用张常宁开炮到4-1迫使蔡斌休战，孟子旋防守垫飞和朱婷被许璐瑶拦截连丢3分追平。许若亚单人封堵陈博雅与张常宁相继变扣为吊逆转至9-8，江苏女排依靠龚翔宇偷袭二次球但张常宁轻吊出界遭逆转到10-12。朱婷暴扣倪非凡致歉和李盈莹后三至17-14但陈博雅开炮，天津渤海通过李盈莹巧打与防反到19-15被许若亚轻拍，李盈莹回敬轻吊并且后三巧打和重扣至24-20，姚迪跳飘下网浪费一局点后朱婷暴扣再胜25-21。朱婷第四局打吊结合与王媛媛背飞再探头到5-0迫使蔡斌休战，江苏女排再遭朱婷防反扩大6分差距，改由副攻姜倩雯轮换王辰玥并且许璐瑶暴扣止住卡轮。张常宁后三突破三人拦网摔倒在地，天津渤海在8-3连丢2分后由王宝泉暂停，许璐瑶、龚翔宇和张常宁接力神防守惊艳。天津女排通过李盈莹借手出界和巧打到12-5，但被许若亚重扣和孟子旋遭追发垫飞、李盈莹遭龚翔宇封堵再被张常宁轻吊连丢4分并且迫近15-14。天津渤海银行在张常宁扭伤膝盖离场后被许若亚重扣，朱婷打吊结合以25-21锁定胜局3-1成功卫冕并且荣膺13冠王。（任煜寅）返回搜狐，查看更多,体育,朱婷26分天津女排3-1江苏 总决赛胜场2-1卫冕揽13冠王
